crater_id,center_x,center_y,radius,area,rim_strength,contrast,risk_score
1,232.000,631.000,58.000,10568.318,0.063256,0.385966,0.410203
2,57.000,427.000,38.000,4536.460,0.082403,0.357925,0.313448
3,653.000,135.000,32.000,3216.991,0.071604,0.265127,0.255881
4,478.000,108.000,39.000,4778.362,0.095321,0.287377,0.306542
5,92.000,369.000,17.000,907.920,0.137326,0.402943,0.246139
6,443.000,155.000,20.000,1256.637,0.087797,0.003170,0.138662
7,324.000,199.000,28.000,2463.009,0.089893,0.399308,0.277984
8,125.000,157.000,15.000,706.858,0.151706,0.347751,0.228976
9,760.000,124.000,40.000,5026.548,0.085205,0.385787,0.331510
10,44.000,531.000,12.000,452.389,0.163492,0.412191,0.235636
11,573.000,395.000,39.000,4778.362,0.079268,0.261330,0.292806
12,192.000,349.000,60.000,11309.734,0.057676,0.481630,0.441444
13,841.000,382.000,57.000,10207.035,0.059108,0.253718,0.370356
14,809.000,473.000,61.000,11689.866,0.064164,0.227094,0.385647
15,639.000,543.000,55.000,9503.318,0.062901,0.357362,0.388137
16,577.000,301.000,61.000,11689.866,0.072158,0.311817,0.410425
17,406.000,267.000,59.000,10935.884,0.069443,0.206730,0.373096
18,354.000,297.000,42.000,5541.769,0.070154,0.169829,0.280584
19,236.000,469.000,19.000,1134.115,0.089575,0.282623,0.204407
20,726.000,251.000,27.000,2290.221,0.093030,0.402072,0.275168
21,835.000,84.000,42.000,5541.769,0.069617,0.209065,0.290151
22,795.000,284.000,54.000,9160.884,0.062283,0.388039,0.390611
23,852.000,570.000,23.000,1661.903,0.100178,0.396974,0.257438
24,1021.000,157.000,11.000,380.133,0.169376,0.518130,0.259850
25,1019.000,278.000,21.000,1385.442,0.108799,0.352960,0.240478
26,842.000,436.000,37.000,4300.840,0.089981,0.221204,0.277760
27,514.000,311.000,41.000,5281.017,0.084744,0.217987,0.294271
28,792.000,380.000,47.000,6939.778,0.052337,0.107518,0.281579
29,880.000,218.000,23.000,1661.903,0.100570,0.243335,0.219205
30,970.000,314.000,44.000,6082.123,0.079558,0.391644,0.350105
31,873.000,100.000,60.000,11309.734,0.063044,0.540912,0.458680
32,132.000,77.000,51.000,8171.282,0.071420,0.310828,0.360666
33,186.000,671.000,16.000,804.248,0.115089,0.261686,0.195900
34,868.000,185.000,23.000,1661.903,0.038226,0.148047,0.167328
35,1028.000,509.000,18.000,1017.876,0.089227,0.316739,0.207861
36,1021.000,641.000,38.000,4536.460,0.072888,0.344667,0.305851
37,534.000,220.000,38.000,4536.460,0.085647,0.241395,0.285775
38,582.000,488.000,36.000,4071.504,0.074342,0.359135,0.300287
39,886.000,307.000,19.000,1134.115,0.127564,0.365047,0.242108
40,455.000,300.000,49.000,7542.964,0.083746,0.282086,0.349191
41,29.000,29.000,12.000,452.389,0.165890,0.415543,0.237553
42,933.000,465.000,54.000,9160.884,0.058972,0.332091,0.375134
43,895.000,548.000,30.000,2827.433,0.100632,0.311019,0.270580
44,390.000,610.000,20.000,1256.637,0.103685,0.260076,0.210038
45,306.000,241.000,10.000,314.159,0.169722,0.465133,0.241838
46,602.000,193.000,41.000,5281.017,0.071702,0.319223,0.313711
47,579.000,592.000,44.000,6082.123,0.069002,0.210465,0.300061
48,448.000,641.000,58.000,10568.318,0.066053,0.393594,0.413368
49,487.000,168.000,47.000,6939.778,0.096497,0.328729,0.356753
50,641.000,428.000,47.000,6939.778,0.074435,0.398285,0.364214
51,413.000,335.000,33.000,3421.194,0.096836,0.088719,0.228051
52,210.000,268.000,51.000,8171.282,0.057973,0.214576,0.330552
53,276.000,149.000,41.000,5281.017,0.064372,0.291285,0.303428
54,577.000,113.000,42.000,5541.769,0.074231,0.446966,0.351703
55,296.000,80.000,21.000,1385.442,0.125073,0.413599,0.262961
56,116.000,535.000,15.000,706.858,0.152076,0.448885,0.254426
57,410.000,210.000,54.000,9160.884,0.080390,0.279254,0.371563
58,576.000,634.000,32.000,3216.991,0.079972,0.304272,0.269432
59,478.000,205.000,36.000,4071.504,0.097287,0.064644,0.236989
60,733.000,656.000,47.000,6939.778,0.072572,0.398229,0.363362
61,212.000,508.000,35.000,3848.451,0.085909,0.254193,0.274339
62,83.000,111.000,53.000,8824.734,0.074492,0.283533,0.365060
63,446.000,88.000,61.000,11689.866,0.070968,0.206939,0.383670
64,656.000,225.000,44.000,6082.123,0.066685,0.237615,0.305805
65,453.000,588.000,31.000,3019.071,0.090124,0.082398,0.213614
66,971.000,93.000,59.000,10935.884,0.059780,0.343539,0.402950
67,174.000,163.000,26.000,2123.717,0.108411,0.366780,0.268349
68,208.000,311.000,39.000,4778.362,0.073661,0.362698,0.315625
69,455.000,378.000,19.000,1134.115,0.115770,0.419565,0.250430
