metric,value
crater_count,69
path_length_pixels,1707.045815
astar_path_cost,2032.219630
estimated_energy_units,2200.564314
estimated_mission_time_seconds,94.835879
average_route_cost,5.926764
average_route_roughness,0.041650
average_route_slope,0.017310
average_shadow_risk,0.438915
minimum_hazard_clearance,1.000000
average_hazard_clearance,24.375573
hard_hazard_crossing_percent,0.000000
astar_nodes_expanded,14156
dijkstra_nodes_expanded,14644
astar_runtime_seconds,0.581522
dijkstra_runtime_seconds,0.583961
astar_expansion_reduction_percent,3.332423
