waypoint_id,row,col,cost,roughness,slope,shadow_risk,hazard_clearance,hard_hazard
1,636.000,76.000,5.353758,0.007689,0.011228,0.551173,21.485,0
2,633.500,73.500,5.241589,0.017762,0.012124,0.552924,22.657,0
3,631.000,71.000,4.871597,0.003782,0.013700,0.545734,24.414,0
4,628.500,68.500,4.931198,0.038279,0.017253,0.543459,25.828,0
5,626.000,66.000,4.773427,0.039305,0.021844,0.581067,28.000,0
6,623.500,63.500,4.470729,0.017868,0.021299,0.613821,30.000,0
7,621.000,61.000,4.101277,0.015899,0.017149,0.624927,33.799,0
8,618.500,58.500,4.144418,0.012735,0.014439,0.614012,32.627,0
9,616.000,56.000,4.355115,0.003252,0.013721,0.665494,30.870,0
10,613.500,53.500,4.584656,0.021279,0.018092,0.647524,29.698,0
11,611.000,51.000,4.480742,0.007404,0.022044,0.635456,29.698,0
12,608.500,48.500,4.610976,0.014191,0.025786,0.664555,29.698,0
13,606.000,46.000,4.434838,0.005616,0.028734,0.660090,30.870,0
14,603.500,43.500,4.500342,0.037183,0.032189,0.633122,32.041,0
15,601.000,41.000,4.117815,0.002890,0.043364,0.614258,33.799,0
16,598.500,38.500,4.211115,0.026847,0.049295,0.610767,34.970,0
17,596.000,36.000,3.922467,0.032800,0.050992,0.517358,36.728,0
18,591.000,36.000,3.809902,0.016568,0.041642,0.467047,34.657,0
19,588.500,33.500,3.614046,0.019541,0.032810,0.430404,35.828,0
20,586.000,31.000,3.387434,0.004361,0.018540,0.448605,37.041,0
21,583.500,28.500,3.450743,0.013327,0.013558,0.421132,35.870,0
22,581.000,26.000,3.558290,0.010436,0.012104,0.418971,34.112,0
23,578.500,23.500,3.649323,0.013862,0.010798,0.429817,33.527,0
24,576.000,21.000,3.875766,0.031776,0.009799,0.465612,33.213,0
25,573.500,18.500,3.882683,0.021448,0.010208,0.452387,32.041,0
26,571.000,16.000,3.989576,0.013796,0.008479,0.450646,30.284,0
27,568.500,13.500,4.037130,0.003440,0.009345,0.454967,29.284,0
28,566.000,11.000,4.209663,0.015260,0.012855,0.436766,28.284,0
29,563.500,8.500,4.177448,0.011562,0.015068,0.428861,28.284,0
30,561.000,6.000,4.310147,0.049349,0.015391,0.419249,29.284,0
31,556.000,6.000,4.384935,0.029979,0.014742,0.397815,27.041,0
32,551.000,6.000,4.598335,0.018094,0.014329,0.410184,24.970,0
33,546.000,6.000,4.925164,0.034347,0.012833,0.371997,22.899,0
34,541.000,6.000,5.321778,0.039629,0.011959,0.382146,20.828,0
35,536.000,6.000,5.515261,0.026932,0.010878,0.360163,19.000,0
36,531.000,6.000,5.862144,0.041955,0.009508,0.382785,18.000,0
37,526.000,6.000,5.353104,0.003856,0.012658,0.355832,19.000,0
38,521.000,6.000,5.339914,0.046973,0.014560,0.361109,20.828,0
39,516.000,6.000,4.888024,0.034642,0.016205,0.346514,22.899,0
40,511.000,6.000,4.636637,0.048891,0.014145,0.330021,24.970,0
41,506.000,6.000,4.465897,0.058936,0.011903,0.348932,27.041,0
42,501.000,6.000,3.984949,0.038430,0.010972,0.316216,29.284,0
43,496.000,6.000,3.854556,0.044321,0.011461,0.366995,32.112,0
44,491.000,6.000,4.006724,0.041499,0.007420,0.344747,29.698,0
45,486.000,6.000,4.358211,0.039537,0.002573,0.349443,26.456,0
46,481.000,6.000,4.980995,0.039777,0.007767,0.342101,22.213,0
47,476.000,6.000,5.668636,0.037446,0.011246,0.340575,18.385,0
48,471.000,6.000,6.295232,0.039006,0.014191,0.335222,15.556,0
49,466.000,6.000,7.153087,0.041302,0.018412,0.330190,12.314,0
50,461.000,6.000,8.021538,0.033579,0.022930,0.349019,9.485,0
51,456.000,6.000,9.142323,0.040353,0.022661,0.380897,6.657,0
52,451.000,6.000,10.267261,0.065700,0.017621,0.406380,4.414,0
53,446.000,6.000,11.066129,0.045873,0.010753,0.430193,2.414,0
54,441.000,6.000,11.698924,0.035475,0.008381,0.431411,1.000,0
55,438.500,3.500,10.738196,0.008985,0.008352,0.403959,2.414,0
56,436.000,1.000,16.282468,0.795104,0.008648,0.954023,5.000,0
57,431.000,1.000,16.838575,0.812677,0.013300,0.943621,4.000,0
58,426.000,1.000,16.905240,0.827148,0.013524,0.927368,4.000,0
59,421.000,1.000,16.934263,0.840458,0.009218,0.907997,4.000,0
60,416.000,1.000,16.425193,0.835338,0.001825,0.906388,5.000,0
61,413.500,3.500,10.502729,0.020519,0.007146,0.353392,2.828,0
62,411.000,6.000,11.433733,0.046655,0.011010,0.367134,1.414,0
63,406.000,6.000,10.457234,0.038770,0.020950,0.367656,3.414,0
64,401.000,6.000,9.814003,0.030433,0.028718,0.447333,5.243,0
65,396.000,6.000,9.528981,0.048940,0.024283,0.452547,6.243,0
66,393.500,8.500,9.422295,0.014444,0.019379,0.524956,6.243,0
67,391.000,11.000,9.335369,0.018488,0.014589,0.556563,6.657,0
68,386.000,11.000,8.280828,0.018824,0.009840,0.543574,9.485,0
69,381.000,11.000,8.231573,0.035639,0.007126,0.549517,10.000,0
70,378.500,13.500,7.407633,0.017169,0.010934,0.539676,12.314,0
71,376.000,16.000,7.004496,0.008350,0.016098,0.546042,13.728,0
72,371.000,16.000,6.789600,0.008678,0.020522,0.581939,15.000,0
73,368.500,18.500,6.249532,0.022122,0.025000,0.584011,17.970,0
74,366.000,21.000,6.081414,0.026132,0.027197,0.616400,19.385,0
75,363.500,23.500,5.868966,0.012323,0.023903,0.635059,20.142,0
76,361.000,26.000,5.463866,0.011156,0.021249,0.629391,22.314,0
77,358.500,28.500,5.374294,0.005317,0.017758,0.669408,23.071,0
78,356.000,31.000,4.985074,0.002310,0.015874,0.649726,25.243,0
79,351.000,31.000,4.426187,0.008773,0.010573,0.646889,30.000,0
80,348.500,33.500,4.392252,0.008886,0.011521,0.675346,31.000,0
81,346.000,36.000,4.294372,0.019529,0.009554,0.696594,33.243,0
82,343.500,38.500,4.224877,0.022339,0.009934,0.684743,34.000,0
83,341.000,41.000,4.133656,0.017444,0.010284,0.675240,34.456,0
84,338.500,43.500,4.379018,0.029294,0.021250,0.638197,32.284,0
